"CODIGO","DESCRIPCION","ZONA.FISCAL","PAIS","TIPOVIA","DIRECCION","COLONIA","DELEGACION","ESTADO","NCOLONIA","LOCALIDAD",
"08120","LA LLAGOSTA (BARCELONA)","","","","","","","","","",
"21760","TORRE DE LA HIGUERA","","","","","","","","","",
"07500","MANACOR (ISLAS BALEARES)","","","","","","","","","",
"41011","SEVILLA","","","","","","","","","",
"19001","GUADALAJARA","","","","","","","","","",
"06260","BADAJOZ","","","","","","","","","",
"10011","CADIZ","","","","","","","","","",
"15002","A CORU¤A","","","","","","","","","",
"11530","ROTA","","","","","","","","","",
"10910","CACERES","","","","","","","","","",
"28022","MADRID","","","","","","","","","",
"03160","ALICANTE","","","","","","","","","",
"11003","CADIZ","","","","","","","","","",
"33199","LIMANES  SIERO ","","","","","","","","","",
"28921","ALCORCON","","","","","","","","","",
"38190","VILLARD BONNOT","","","","","","","","","",
"34005","PALENCIA","","","","","","","","","",
"29014","MALAGA","","","","","","","","","",
"07810","CALA PORTINAX(IBIZA)","","","","","","","","","",
"29200","ANTEQUERA","","","","","","","","","",
"75018","PARIS","","","","","","","","","",
"13700","TOMELLOSO","","","","","","","","","",
"41600","ARAHAL","","","","","","","","","",
"28053","MADRID","","","","","","","","","",
"41012A","SEVILLA","","","","","","","","","",
"26007","LOGRO¥O","","","","","","","","","",
"15405","FERROL","","","","","","","","","",
"01300","BELLEY","","","","","","","","","",
"07004","PALMA DE MALLORCVA","","","","","","","","","",
"11158","VEJER DE LA FRONTERA","","","","","","","","","",
"08740","SANT ANDREU DE LA BARCA","","","","","","","","","",
"18009","GRANADA","","","","","","","","","",
"21110","ALJARAQUE","","","","","","","","","",
"28240","HOYO DE MANZANARES","","","","","","","","","",
"15406","FERROL","","","","","","","","","",
"49010","ZAMORA","","","","","","","","","",
"41880","EL RONQUILLO","","","","","","","","","",
"50529","FUENTEJALON","","","","","","","","","",
"11314","SAN ROQUE","","","","","","","","","",
"11407","JEREZ DE LA FRONTERA","","","","","","","","","",
"33510","ANDERNOS LES BAINS","","","","","","","","","",
"11500","EL PUERTO DE SANTA MARIA","","","","","","","","","",
"11593","JEREZ DE LA FRONTERA","","","","","","","","","",
"23001","JAEN","","","","","","","","","",
"46530","PUZOL (VALENCIA)","","","","","","","","","",
"08028","BARCELONA","","","","","","","","","",
"18010","GRANADA","","","","","","","","","",
"46003","VALENCIA","","","","","","","","","",
"41012","SEVILLA","","","","","","","","","",
"08214","BADIA DEL VALLES","","","","","","","","","",
"14011","CORDOBA","","","","","","","","","",
"19002","GUADALAJARA","","","","","","","","","",
"36207","VIGO","","","","","","","","","",
"08400","GRANOLLERS (BARCELONA)","","","","","","","","","",
"15530","FERROL (CORU¥A)","","","","","","","","","",
"42004","SORIA","","","","","","","","","",
"15003","LA CORU¥A","","","","","","","","","",
"20180","OIARTZUN","","","","","","","","","",
"28023","MADRID","","","","","","","","","",
"11004","CADIZ","","","","","","","","","",
"33820","GRADO","","","","","","","","","",
"28922","ALCORCON (MADRID)","","","","","","","","","",
"29015","MALAGA","","","","","","","","","",
"11190","BENALUP","","","","","","","","","",
"10570","SALORINO","","","","","","","","","",
"03440","IBI(ALICANTE)","","","","","","","","","",
"45600","TALAVERA DE LA RINA","","","","","","","","","",
"06478","BADAJOZ","","","","","","","","","",
"30007","MURCIA","","","","","","","","","",
"15840","SANTA COMBA (LA CORUNA)","","","","","","","","","",
"03006","ALICANTE","","","","","","","","","",
"30100","ESPINARDO (MURCIA)","","","","","","","","","",
"16553","EDINBURGH","","","","","","","","","",
"28054","MADRID","","","","","","","","","",
"14600","MONTORO","","","","","","","","","",
"28891","VELILLA DE SAN ANTONIO","","","","","","","","","",
"28860","PARAGUELLOS,(MADRID)","","","","","","","","","",
"27279","BARREIROS ","","","","","","","","","",
"410014","SEVILLA","","","","","","","","","",
"30720","SANTIAGO DE LA RIBERA ","","","","","","","","","",
"14290","FUENTE OBEJUNA","","","","","","","","","",
"06230","VILLEFRANCHE","","","","","","","","","",
"07160","CALVIA ISLAS BALEARES","","","","","","","","","",
"50002","ZARAGOZA","","","","","","","","","",
"48112","MARURI","","","","","","","","","",
"08184","PALAU DE PLEGAMANS","","","","","","","","","",
"20305","IRUN","","","","","","","","","",
"31000","TOULOUSSE","","","","","","","","","",
"15407","FERROL","","","","","","","","","",
"21204","AROCHE","","","","","","","","","",
"29140","CHURRIANA (MALAGA)","","","","","","","","","",
"14880","LUQUE","","","","","","","","","",
"00000","GETAFE MADRID","","","","","","","","","",
"11408","JEREZ DE LA FRONTERA","","","","","","","","","",
"06510","ALBURQUERQUE","","","","","","","","","",
"13640","HERENCIA (CIUDAD REAL)","","","","","","","","","",
"50003","ZARAGOZA","","","","","","","","","",
"11501","ROTA","","","","","","","","","",
"11594","JEREZ DE LA FRONTERA","","","","","","","","","",
"08029","BARCELONA","","","","","","","","","",
"05270","EL TIEMBLO (AVILA)","","","","","","","","","",
"11687","EL GASTOR","","","","","","","","","",
"47430","PEDRAJAS SAN ESTEBAN (VALLADOLID)","","","","","","","","","",
"18197","PULIANAS( GRANADA)","","","","","","","","","",
"41013","SEVILLA","","","","","","","","","",
"14012","CORDOBA","","","","","","","","","",
"11160","BARBATE","","","","","","","","","",
"36208","VIGO","","","","","","","","","",
"09300","ROA BURGOS","","","","","","","","","",
"15004","LA CORU¥A","","","","","","","","","",
"504","ORENS","","","","","","","","","",
"46469","BENIPARRELL","","","","","","","","","",
"08680","GIRONELLA","","","","","","","","","",
"28024","MADRID","","","","","","","","","",
"15190","A CORU¥A","","","","","","","","","",
"28830","SAN FERNANDO DE HENARES MADRID","","","","","","","","","",
"11005","CADIZ","","","","","","","","","",
"21700","HUELVA","","","","","","","","","",
"28923","MADRID","","","","","","","","","",
"49600","BENAVENTE","","","","","","","","","",
"29016","MALAGA","","","","","","","","","",
"48980","SANTURCE","","","","","","","","","",
"08339","VILASSAR DE DALT BARCELONA","","","","","","","","","",
"06200","ALMENDRALEJO (BADAJOZ)","","","","","","","","","",
"15655","EL PUERTO DE SANTA MARIA","","","","","","","","","",
"18600","MOTRIL (GRANADA)","","","","","","","","","",
"11550 ","CHIPIONA","","","","","","","","","",
"11470","MEDINA SIDONIA","","","","","","","","","",
"23591","JAEN","","","","","","","","","",
"03007","ALICANTE","","","","","","","","","",
"46500","SAGUNTO","","","","","","","","","",
"10137","ALIA","","","","","","","","","",
"22351","TARIFA ","","","","","","","","","",
"45880","CORRAL DE ALMAGUER (TOLEDO)","","","","","","","","","",
"06107","ALVARADO","","","","","","","","","",
"03720","BENISSA- ALICANTE","","","","","","","","","",
"18538","DEHESAS DE GUADIX","","","","","","","","","",
"23002","JAEN","","","","","","","","","",
"07006","PALMA DE MALLORCA","","","","","","","","","",
"01240","ALAVA","","","","","","","","","",
"48020","BILBAO","","","","","","","","","",
"1206","ALGECIRAS","","","","","","","","","",
"46780","OLIVA VALENCIA","","","","","","","","","",
"04000","ALMERIA","","","","","","","","","",
"11130","CHICLANA DE LA FRONTERA","","","","","","","","","",
"32613","OIMBRA   ORENSE","","","","","","","","","",
"11409","JEREZ DE LA FRONTERA","","","","","","","","","",
"29327","TEBA (MALAGA)","","","","","","","","","",
"50004","ZARAGOZA","","","","","","","","","",
"11502","EL PUERTO DE SANTA MARIA","","","","","","","","","",
"11595","TORRECERA","","","","","","","","","",
"08030","BARCELONA","","","","","","","","","",
"11688","ZAHARA DE LA SIERRA ","","","","","","","","","",
"21670","NERVA (HUELVA)","","","","","","","","","",
"41014","SEVILLA","","","","","","","","","",
"28180","TORRELAGUNA","","","","","","","","","",
"19004","GUADALAJARA","","","","","","","","","",
"41820","CARRION DE LOS CESPEDES(SEVILLA)","","","","","","","","","",
"14013","CORDOBA","","","","","","","","","",
"13300","VALDEPE¥AS","","","","","","","","","",
"48950","ERANDIO","","","","","","","","","",
"41200","ALCALA DEL RIO (SEVILLA)","","","","","","","","","",
"36209","VIGO","","","","","","","","","",
"15005","LA CORU¥A","","","","","","","","","",
"41479","EL CUERVO","","","","","","","","","",
"03690","SAN VICENTE DEL RASPEIG","","","","","","","","","",
"25173","CASTELLON DE LA PLANA","","","","","","","","","",
"45850","TOLEDO","","","","","","","","","",
"28025","MADRID","","","","","","","","","",
"11006","CADIZ","","","","","","","","","",
"66000","PERPIGNAN","","","","","","","","","",
"28924","MADRID","","","","","","","","","",
"23220","VILCHES (JAEN)","","","","","","","","","",
"18322","11500 EL PUERTO DE SANTA MARIA","","","","","","","","","",
"29017","MALAGA","","","","","","","","","",
"22600","EIBAR","","","","","","","","","",
"29730","TORRECILLAS (RINCON VITA) (MALAGA)","","","","","","","","","",
"07007","ILLES BALEARES","","","","","","","","","",
"14850","BAENA","","","","","","","","","",
"29110","MALAGA","","","","","","","","","",
"64140","BILLERE","","","","","","","","","",
"11471","JEREZ DE LA FRONTERA","","","","","","","","","",
"30009","MURCIA","","","","","","","","","",
"13610","CAMPO DE CRIPTANA","","","","","","","","","",
"12184","SARRATELLA","","","","","","","","","",
"06480","MONTIJO","","","","","","","","","",
"41510","MAIRENA DEL ALCOR (SEVILLA)","","","","","","","","","",
"30815","DIP TERCIA LORCA (MURCIA) ","","","","","","","","","",
"35","GIMBUTIENES","","","","","","","","","",
"30319","MURCIA","","","","","","","","","",
"45230","NUMANCIA DE LA SAGRA","","","","","","","","","",
"18012","GRANADA","","","","","","","","","",
"28490","MADRID ","","","","","","","","","",
"18260","GRANADA","","","","","","","","","",
"03009","ALICANTE","","","","","","","","","",
"08000","BARCELONA","","","","","","","","","",
"04001","ALMERIA","","","","","","","","","",
"48920","PORTUGALETE (VIZCAYA)","","","","","","","","","",
"54004","TOLEDO","","","","","","","","","",
"33420","LUGONES","","","","","","","","","",
"15595","FERROL","","","","","","","","","",
"27003","LUGO","","","","","","","","","",
"11410","JEREZ DE LA FRONTERA","","","","","","","","","",
"11503","JEREZ DE LA FRONTERA","","","","","","","","","",
"11596","JEREZ DE LA FRONTERA","","","","","","","","","",
"3191","BOORTMEERBEEK","","","","","","","","","",
"08031","BARCELONA","","","","","","","","","",
"18013","GRANADA","","","","","","","","","",
"17300","BLANES GIRONA","","","","","","","","","",
"15161","LA CORU¥A","","","","","","","","","",
"45200","ILLESCAS (TOLEDO)","","","","","","","","","",
"28801","ALCALA DE HENARES","","","","","","","","","",
"46006","VALENCIA","","","","","","","","","",
"08930","SAN ADRIAN DE SOS","","","","","","","","","",
"41015","SEVILLA","","","","","","","","","",
"P-4701-9","BRAGA","","","","","","","","","",
"29700","VELEZ MALAGA","","","","","","","","","",
"14014","CORDOBA","","","","","","","","","",
"36210","VIGO (PONTEVEDRA)","","","","","","","","","",
"28460","LOS MOLINOS (MADRID)","","","","","","","","","",
"14200","PE¥ARROYA PUEBLONUEVO ","","","","","","","","","",
"64110","GELOS","","","","","","","","","",
"13580","ALMODOVAR DEL CAMPO (CIUDAD REAL)","","","","","","","","","",
"28026","MADRID","","","","","","","","","",
"11007","CADIZ","","","","","","","","","",
"11100","SAN FERNANDO","","","","","","","","","",
"33203","ASTURIAS","","","","","","","","","",
"1269","LISBOA","","","","","","","","","",
"18230","ATARFE (GRANADA)","","","","","","","","","",
"28925","SAN JOSE DE VALDERAS (ALCORCON) (MADRID)","","","","","","","","","",
"28212","NAVALAGAMELLA(MADRID)","","","","","","","","","",
"39000","SANTANDER","","","","","","","","","",
"07008","PALMA DE MALLORCA","","","","","","","","","",
"11379","LOS BARRIOS","","","","","","","","","",
"23500","JODAR","","","","","","","","","",
"30010","MURCIA","","","","","","","","","",
"15006","15006 LA CORUNA","","","","","","","","","",
"28770","COLMENAR VIEJO (MADRID)","","","","","","","","","",
"59181","STEENWERCK ","","","","","","","","","",
"410017","SEVILLA","","","","","","","","","",
"11689","ALGODONALES","","","","","","","","","",
"23004","RENNES","","","","","","","","","",
"36520","AGOLADA","","","","","","","","","",
"08403","GRANOLLERS","","","","","","","","","",
"31002","PAMPLONA","","","","","","","","","",
"33576","ASTURIAS","","","","","","","","","",
"03010","ALICANTE","","","","","","","","","",
"24400","PONFERRADA","","","","","","","","","",
"95700","ROISSY (FRANCIA)","","","","","","","","","",
"11659","CADIZ","","","","","","","","","",
"23780","LOPERA (JAEN)","","","","","","","","","",
"29670","SAN PEDRO ALCANTARA","","","","","","","","","",
"08808970","EL PRAT DE LLOBREGAT (BARCELONA) ESPA¥A","","","","","","","","","",
"27004","LUGO","","","","","","","","","",
"11411","JEDULA","","","","","","","","","",
"41450","SEVILLA","","","","","","","","","",
"50006","ZARAGOZA","","","","","","","","","",
"11504","LA  BARCA DE LA FLORIDA","","","","","","","","","",
"11597","JEREZ DE LA FRONTERA","","","","","","","","","",
"23005","JAEN","","","","","","","","","",
"18014","GRANADA","","","","","","","","","",
"28802","ALCALA DE HENARES","","","","","","","","","",
"73721","BRIGHTON","","","","","","","","","",
"11690","OLVERA (CADIZ)","","","","","","","","","",
"18200","MARACENA","","","","","","","","","",
"41016","SEVILLA","","","","","","","","","",
"46100","BURJASOT","","","","","","","","","",
"36211","VIGO","","","","","","","","","",
"02080","ALBACETE","","","","","","","","","",
"30600","ARCHENA","","","","","","","","","",
"15007","A CORU¥A","","","","","","","","","",
"28027","MADRID","","","","","","","","","",
"11008","CADIZ","","","","","","","","","",
"33204","GIJON","","","","","","","","","",
"29639","BENALMADENA (MALAGA)","","","","","","","","","",
"28213","MADRID","","","","","","","","","",
"41760","EL CORONIL","","","","","","","","","",
"41140","VFCO GUADALQIVIR (SEVILLA)","","","","","","","","","",
"49696","SANTA MARIA DE LA VEGA (ZAMORA)","","","","","","","","","",
"23031150","GRATENTOUR","","","","","","","","","",
"07009","PONT D INCA MARRATXI","","","","","","","","","",
"11380","TARIFA","","","","","","","","","",
"25640","ROULANS","","","","","","","","","",
"07691","SANTANYI","","","","","","","","","",
"04002","ALMERIA","","","","","","","","","",
"31003","PAMPLONA","","","","","","","","","",
"4430-956","VILA NOVA DE GAIA","","","","","","","","","",
"29580 ","MALAGA ","","","","","","","","","",
"41420","FUENTE DE ANDALUCIA","","","","","","","","","",
"03011","ALICANTE","","","","","","","","","",
"26540","ALFARO.","","","","","","","","","",
"11660","PRADO DEL REY","","","","","","","","","",
"08808","EL PRAT DE LLOBREGAT (BARCELONA) ESPA¥A","","","","","","","","","",
"18170","JUN","","","","","","","","","",
"13179","POZUELO DE CALATRAVA (CIUDAD REAL)","","","","","","","","","",
"08901","HOSPITALET DE LLOBREGAT (BARCELONA)","","","","","","","","","",
"04003","ALMERIA","","","","","","","","","",
"45450","ORGAZ (TOLEDO)","","","","","","","","","",
"23440","JAEN","","","","","","","","","",
"37700","BEJAR","","","","","","","","","",
"11412","JEREZ DE LA FRA","","","","","","","","","",
"50007","ZARAGOZA","","","","","","","","","",
"28710","EL MOLAR (MADRID)","","","","","","","","","",
"23006","JAEN","","","","","","","","","",
"18015","GRANADA","","","","","","","","","",
"06700","VILLANUEVA DE SERENA (BADAJOZ)","","","","","","","","","",
"11071","CHIPIONA","","","","","","","","","",
"46008","VALENCIA","","","","","","","","","",
"41730","LAS CABEZAS DE SAN JUAN","","","","","","","","","",
"91640","VAUGRIGNEUSE","","","","","","","","","",
"41110","BOLLULLOS MITACION","","","","","","","","","",
"0000","ALAVA","","","","","","","","","",
"47000","VALLADOLID","","","","","","","","","",
"03600","ELDA","","","","","","","","","",
"15008","LA CORU¥A","","","","","","","","","",
"30880","AGUILAS","","","","","","","","","",
"28028","MADRID","","","","","","","","","",
"16000","ANGOULEME","","","","","","","","","",
"11009","CADIZ","","","","","","","","","",
"29640","FUENGIROLA","","","","","","","","","",
"41048","SEVILLA","","","","","","","","","",
"35530","TEGUISE","","","","","","","","","",
"21270","CALA","","","","","","","","","",
"07010","PALMA","","","","","","","","","",
"18046","MADRID","","","","","","","","","",
"28400","COLLADO VILLALBA ","","","","","","","","","",
"43001","TARRAGONA","","","","","","","","","",
"25300","JODAR","","","","","","","","","",
"18697","LA HERRADURA","","","","","","","","","",
"47837","QUATRE¥ONDA","","","","","","","","","",
"41017","SEVILLA","","","","","","","","","",
"11691","SETENIL","","","","","","","","","",
"08033","BARCELONA","","","","","","","","","",
"48860","BILBAO","","","","","","","","","",
"29300","ARCHIDONA","","","","","","","","","",
"08003","BARCELONA","","","","","","","","","",
"2450","MADRID ","","","","","","","","","",
"41700","DOS HERMANAS (SEVILLA)","","","","","","","","","",
"17458","FORNELLS DE LA SELVA","","","","","","","","","",
"11008 ","CADIZ","","","","","","","","","",
"31191","BARNSLEY","","","","","","","","","",
"26200","HARO(LA RIOJA)","","","","","","","","","",
"03570","VILAJOYOSA","","","","","","","","","",
"10080","CACERES","","","","","","","","","",
"50008","ZARAGOZA","","","","","","","","","",
"39313","CANTABRIA","","","","","","","","","",
"09460","LE PLA 09","","","","","","","","","",
"45110","AJOFRIN","","","","","","","","","",
"08034","BARCELONA","","","","","","","","","",
"11692","SETENIL DE LAS BODEGAS","","","","","","","","","",
"08840","VILADECANS","","","","","","","","","",
"41018","SEVILLA","","","","","","","","","",
"23193","LINARES","","","","","","","","","",
"15350"," CARI¥O A CORU¥A","","","","","","","","","",
"07600","EL ARENAL","","","","","","","","","",
"41111","ALMENSILLA( SEVILLA)","","","","","","","","","",
"28370","CHINCHON (MADRID)","","","","","","","","","",
"36213","VIGO","","","","","","","","","",
"35500","ARRECIFE (LAS PALMAS)","","","","","","","","","",
"47001","VALLADOLID","","","","","","","","","",
"41297","MAIRENA DEL ALJARAFE","","","","","","","","","",
"15009","LA CORU¥A","","","","","","","","","",
"416","RIO DE JANEIRO","","","","","","","","","",
"76420","BIHOREL","","","","","","","","","",
"28029","MADRID","","","","","","","","","",
"11630","ARCOS DE LA FRONTERA","","","","","","","","","",
"18140","ZUBIA (GRANADA)","","","","","","","","","",
"11010","CADIZ","","","","","","","","","",
"31780","BERA DE BIDASOA","","","","","","","","","",
"41049","TOMARES","","","","","","","","","",
"30850","TOTANA","","","","","","","","","",
"21860","VILLALBA DEL ARCOR","","","","","","","","","",
"07817","DAN JORDI","","","","","","","","","",
"41080","SEVILLA","","","","","","","","","",
"20868","SEVILLA","","","","","","","","","",
"21891","CHUCENA","","","","","","","","","",
"07011","PALMA DE MALLORCA","","","","","","","","","",
"06919","PERALEDA DEL ZAUCEJO","","","","","","","","","",
"39004","SANTANDER","","","","","","","","","",
"1099024","LISBOA","","","","","","","","","",
"46940","MANISES","","","","","","","","","",
"07012","PALMA MALLORCA","","","","","","","","","",
"17800","OLOT","","","","","","","","","",
"11408 ","JEREZ DE LA FRONTERA","","","","","","","","","",
"08004","BARCELONA","","","","","","","","","",
"30820","ALCANTARILLA (MURCIA)","","","","","","","","","",
"30107","GUADALUPE(MURCIA)","","","","","","","","","",
"15847","SANTA COMBA","","","","","","","","","",
"03013","ALICANTES","","","","","","","","","",
"08810","SANT PERE DE RIBES BARCELONA","","","","","","","","","",
"30200","CARTAGENA","","","","","","","","","",
"15940","PUEBLA DEL  CARAMI¥AL  A CORU¥A","","","","","","","","","",
"08190","SAN CUGAT DEL VALLES (BARCELONA)","","","","","","","","","",
"41701","DOS HERMANAS (SEVILLA)","","","","","","","","","",
"07570","ARTA","","","","","","","","","",
"28960","TRES CANTOS","","","","","","","","","",
"14700","CORDOBA","","","","","","","","","",
"28340","VALDEMOROS","","","","","","","","","",
"14080","CORDOBA","","","","","","","","","",
"09","FERROL","","","","","","","","","",
"41980","LA ALGABA (SEVILLA)","","","","","","","","","",
"50629","SOBRADIEL","","","","","","","","","",
"11507","LA  BARCA DE LA FLORIDA","","","","","","","","","",
"50009","ZARAGOZA","","","","","","","","","",
"15165","BERGONDO (A CORU¤A)","","","","","","","","","",
"11600","UBRIQUE","","","","","","","","","",
"08035","BARCELONA","","","","","","","","","",
"11693","ALCALA DEL VALLE","","","","","","","","","",
"18110","LA GABIA (GRANADA)","","","","","","","","","",
"28805","ALCALA DE HENARES","","","","","","","","","",
"41019","SEVILLA","","","","","","","","","",
"51001","CEUTA","","","","","","","","","",
"59650","MALAGA","","","","","","","","","",
"06175","SALVATIERRA","","","","","","","","","",
"28991","TORREJON DE LA CALZADA","","","","","","","","","",
"36214","VIGO","","","","","","","","","",
"09120","VERNIOLLE (FRANCIA)","","","","","","","","","",
"08500","BARCELONA","","","","","","","","","",
"03509","ALICANTE","","","","","","","","","",
"15010","LA CORU¥A","","","","","","","","","",
"36400","PONTEVEDRA","","","","","","","","","",
"28.023","MADRID","","","","","","","","","",
"28030","MADRID","","","","","","","","","",
"41670","PRUNA ","","","","","","","","","",
"16002","CUENCA","","","","","","","","","",
"11011","CADIZ","","","","","","","","","",
"33920","LANGREO","","","","","","","","","",
"33207","GIJON","","","","","","","","","",
"1800","VILVOORDE BT","","","","","","","","","",
"43003","SEVILLA","","","","","","","","","",
"50071","ZARAGOZA","","","","","","","","","",
"30510","YECLA","","","","","","","","","",
"46010","VALENCIA","","","","","","","","","",
"21800","MOGUER (CORDOBA)","","","","","","","","","",
"33208","GIJON","","","","","","","","","",
"114406","JEREZ","","","","","","","","","",
"06920","AZUAGA (BADAJOZ)","","","","","","","","","",
"06207","BADAJOZ","","","","","","","","","",
"39005","SANTANDER","","","","","","","","","",
"12004","CASTELLON DE LA PLANA","","","","","","","","","",
"06300","ZAFRA","","","","","","","","","",
"41950","CASTILLEJA DE LA CUESTA","","","","","","","","","",
"19134","TENDILLA","","","","","","","","","",
"27070","TORROX (MALAGA)","","","","","","","","","",
"21459","HUELVA","","","","","","","","","",
